"00400","CT009","OXFORD         ","CONG CHYD               "
"00401","CT009","OXFORD         ","ST PETERS CHYD          "
"00402","CT009","NEW HAVEN      ","GROVE ST CM             "
"00403","CT009","OXFORD         ","OXFORD CM               "
"00404","CT009","OXFORD         ","SOUTHFORD CM            "
"00405","CT005","BARKHAMSTED    ","CENTER CM               "
"00406","CT005","TORRINGTON     ","W TORRINGTON CM         "
"00407","CT005","COLEBROOK      ","BAPTIST CM              "
"00408","CT005","WINCHESTER     ","CENTRAL CM              "
"00409","CT005","N CANAAN       ","CANAAN VALLEY C         "
"00410","CT009","OXFORD         ","QUAKER FARMS CM         "
"00411","CT003","PLAINVILLE     ","PLAINVILLE CM           "
"00412","CT009","ANSONIA        ","BARE PLAINS CM          "
"00413","CT001","WESTPORT       ","GREEN FARMS CM          "
"00414","CT001","FAIRFIELD      ","FAIRFIELD CM            "
"00415","CT013","MIDDLETOWN     ","INDIAN HILL CM          "
"00416","CT005","CORNWALL       ","CORNWALL PLAINS         "
"00417","MI087","HADLEY         ","HADLEY CM               "
"00418","CT003","BRISTOL        ","OLD NORTH CM            "
"00419","CT005","GOSHEN         ","GOSHEN CM               "
"00420","NY079","PUTNAM VALLEY  ","METH CM ADAMS CORNERS   "
"00421","CT005","WASHINGTON     ","OLD CM                  "
"00422","CT005","WASHINGTON     ","NEW CM                  "
"00423","NY079","COLD SPRING    ","COLD SPRING CM          "
"00424","CT005","NEW MILFORD    ","GALLOWS HILL CM         "
"00425","NJ039","ELIZABETH      ","ST JOHN'S CHYD          "
"00426","CT003","BRISTOL        ","BRIDGE ST CM            "
"00427","CT005","MORRIS         ","MORRIS CM               "
